 Score: %d of %d%13s%s%1s	 分數：%d / %d%13s%s%1s
Despite technological advances in strong, lightweight ship materials, you can't possibly budge it.	儘管科技在輕量高強度船體材料上已經突飛猛進，你還是完全推不動它。
It's not available for your use.	這個你用不了。
If YOU could break the glass, it and you would not have survived the journey here.	如果連「你」都打得破這片玻璃，那它跟你根本撐不過這趟旅程。
You are unable to scale it.	你爬不上去。
You are unable to scale anything here.	這裡沒有什麼東西讓你爬。
It is locked. You are unable to gain access.	它被鎖住了，你進不去。
Where Do You What To Start? (Press ESC to Stay Here)	你想從哪裡開始？(按 ESC 留在這裡)
You notice that the sounds from the pod grow softer until they are imperceptible. Having served its purpose and taxed its resources, the pod gives a final hum and shuts down.	你注意到逃生艙的聲音漸漸變弱，直到完全聽不見。耗盡了資源、完成了使命，逃生艙發出最後一聲嗡鳴，就此關閉。
Sensing an adequate surface the claw releases its cargo and begins the ascent to the grabber unit.	鐵爪偵測到合適的地面後，放下了手中的貨物，開始朝抓取裝置的方向升起。
The claw senses contact with the warp motivator, grasps it firmly, and begins the ascent back to the grabber.	鐵爪偵測到與曲速引動器接觸，牢牢抓住後，開始朝抓取裝置的方向升起。
Finding nothing here to carry, the claw begins the ascent to the grabber unit.	鐵爪在這裡找不到可以搬運的東西，於是開始朝抓取裝置的方向升起。
It looks like the warp motivator you saw on the Aluminum Mallard's Status Computer. Sturdily constructed, its only protrusion is a modular plug near its base.	看起來就是你在鋁製野鴨號的狀態電腦上看到的曲速引動器。它構造相當堅固，唯一突出的部分是底座附近的一個模組化插頭。
A closer look at the object on the floor reveals that it is a warp motivator. It looks a bit more high-tech than the other junk strewn about this locale. Sturdily constructed, its only protrusion is a modular plug near its base.	湊近一看，地上的物體原來是個曲速引動器，看起來比這裡散落的其他破爛還要高科技一些。它構造相當堅固，唯一突出的部分是底座附近的一個模組化插頭。
The eight-pronged plug protrudes only slightly from the motivator's exterior.	這個八爪插頭只從引動器外殼微微突出。
The floor is composed of a mosaic of overlapping welded steel plates. The menage of used metal plates appear to have been cut from a variety of sources. There is a small round object lying nearby.	地板是由一片片焊接的鋼板拼接而成，這堆雜七雜八的舊金屬板顯然是從各種不同的地方裁切拼湊來的。附近躺著一個小小的圓形物體。
You aren't capable of doing that.	你辦不到這件事。
While relatively small, it seems to be quite dense. I think we're looking at a potential hernia if any attempts are made to manually relocate it.	雖然體積不大，但看起來密度驚人。要是想徒手搬動它，八成會把自己閃到腰。
You can't. It's permanently attached.	不行，它是永久固定的。
Bending aside a thin piece of scrap, you find an opening into another area and climb on in.	你把一片薄薄的廢料掰到一旁，發現了一個通往另一區的開口，便爬了進去。
This bulbous craft looks like it has seen a lot of action in its day. You believe it to be a bowtie fighter dating back to the cologne wars - a true relic.	這艘圓滾滾的飛船看起來身經百戰，你猜這是可以追溯到『古龍水之戰』時期的蝴蝶結戰機——一件貨真價實的古董。
This on is another fine, but worthless, Acme product.	這又是一件精美但一文不值的艾克米公司產品。
This ship says Jupiter 2. This baby must have been floating around out there for a long time. It doesn't hold your interest for very long.	這艘船上寫著『朱庇特二號』。這艘老骨頭想必已經在外頭漂流很久了，不過你對它實在提不起太大興趣。
None are visible.	沒看到任何東西。
It looks like your standard low-tech ascent/descent unit.	看起來就是標準款、低科技的升降裝置。
It's not visible from here.	從這裡看不到。
You can see down into the hole you once passed through. Nothing much can be seen from here.	你可以往下看到你之前經過的那個洞，不過從這裡也看不出什麼名堂。
You can't from here.	從這裡不行。
The limited detail you make out through the ship's film-laden viewport is enough to convince you that everything of worth has been harvested.	你透過船艦滿是塵垢的觀景窗只能看出模糊細節，但這就足以讓你確定：值錢的東西早被搜刮一空了。
The square object looks like an empty component cover for some craft. It covers nothing but deck now.	這個方形物體看起來像某艘飛船的零件護蓋，如今空空如也，只蓋著甲板。
You see nothing but riveted steel.	你只看到滿是鉚釘的鋼板。
Various types of abandoned spacecraft litter the floor of this intergalatic junkyard. All this place needs is a junk yard dog. You shiver at the thought.	各式各樣的廢棄太空船散落在這座星際垃圾場的地面上。這地方就差一隻看門狗了。想到這你不禁打了個寒顫。
You can't do that, nor would it be helpful.	你辦不到，就算辦得到也沒用。
You hear the faint sound of machinery in operation.	你聽見機械運轉的微弱聲響。
There is no visible means of entry.	這裡看不出有任何入口。
You are not skilled in ship climbing.	你不是攀爬太空船的高手。
It's against your nature to do that.	這種事不符合你的個性。
Don't waste your time with that stupid box.	別浪費時間在那個蠢箱子上。
Not from here.	從這裡不行。
There is no ladder here to climb.	這裡沒有梯子可以爬。
There is nothing to climb into.	沒有東西可以爬進去。
That would be fruitless. Don't bother.	這樣做只是白費力氣，別自找麻煩了。
You grab the ladder and jam it in your pocket.	你抓起梯子，硬塞進口袋裡。
Ouch!	哎唷！
It's not here to be gotten.	這裡沒有東西可拿。
There is no ladder here.	這裡沒有梯子。
You ease your way into the hole.	你小心翼翼地鑽進洞裡。
Unfortunately, the fall was too much for your frail frame to withstand.	很不幸，這一摔你那副弱不禁風的身子骨承受不住。
Sensing the floor the claw releases its cargo and begins the ascent to the grabber unit.	感應到地面後，機械爪鬆開了手中的貨物，開始朝抓取裝置上方爬升。
Finding nothing here the claw begins to ascend to the grabber unit.	機械爪在這裡沒找到東西，於是開始朝抓取裝置上方爬升。
YEOW!	唉喲！
It's obvious that the metal was sharper than you. The resulting laceration turns you into a living fountain - at least for a few moments. Unfortunately for you, this show was your finale. Good luck in the afterlife.	很顯然這塊金屬比你還利。傷口一開，你瞬間變成一座活體噴泉——至少撐了幾秒鐘。可惜對你來說，這場秀就是你的謝幕演出。祝你來世好運。
This looks like some type of tunnel boring implement.	這看起來像某種挖隧道用的工具。
This ship is another fine, but worthless, Acme product.	這艘船又是一件精美卻毫無用處的「艾克米」牌產品。
Buckets are attached to a conveyer. They haul metal debris to a horizontal conveyer above.	一個個鏟斗固定在輸送帶上，將金屬殘骸運往上方的水平輸送帶。
You are overwhelmed by the variety of space trash around each corner. A large bucket conveyer carries shredded ships to a horizontal conveyer high above.	四周角落堆滿了五花八門的太空垃圾，讓你看得眼花撩亂。一條巨大的鏟斗輸送帶正把碎裂的船體殘骸，運往高處的水平輸送帶。
Somewhere there's an oversized android missing a limb.	某處有個少了一條肢體的巨型機器人。
It says Jupiter 2. This baby must have been floating around out there for a long time. It doesn't hold your interest for very long.	上面寫著「木星二號」。這寶貝一定在外太空漂流很久了。不過你對它的興趣沒能維持多久。
The viewport is too high. Besides, you'd not see anything interesting.	觀景窗太高了，而且就算看得到，也不會有什麼有趣的東西。
Hoooo boy! It's a big one.	我的媽呀！這一個真不小。
The item in question is just another piece in a fine collection of worthless junk carelessly splashed around the picture by the graphic artist. (You know who you are.)	這件東西不過是美術設計師隨手灑滿畫面的一堆廢物收藏中的一件而已。（你知道我在說誰。）
You peer up and down the conveyer shaft. The view down is obstructed by the tight fit of the conveyer. The view up show it to lead to a horizontal conveyer above.	你朝輸送帶豎井上下張望。往下看，視線被緊貼的輸送帶擋住；往上看，可以看到它通往上方的水平輸送帶。
That's not within your power.	這超出你能力範圍。
Looks dangerous but go ahead, you thrill seeker, you. You'll need to get closer though.	看起來很危險，不過去吧，你這個愛找刺激的傢伙。不過你得先靠近一點才行。
Sounds a little kinky. Maybe you should do that when no one else is around.	聽起來有點變態。也許你該找沒人的時候再做這件事。
The item in question, which is just another piece in a fine collection of worthless junk carelessly splashed around the picture by the graphic artist, isn't needed by you.	這件東西不過是美術設計師隨手灑滿畫面的一堆廢物收藏中的一件，你用不著它。
No.	不。
Yeah, right! That's just what you need.	是喔，講得好像你很需要它一樣。
Sensing the floor, the claw releases its cargo and begins the ascent to the grabber unit.	感應到地面後，機械爪鬆開手中的貨物，開始朝抓取裝置上方爬升。
Finding nothing here, the claw begins to ascend to the grabber unit.	這裡沒找到東西，機械爪於是開始朝抓取裝置上方爬升。
It's quite dark in there, but there is a light at the end of the tunnel.	裡面相當昏暗，不過隧道盡頭有一絲光亮。
Not much remains. If there was anything of value, it was stripped away a long time ago.	剩下的東西不多了。就算曾經有什麼值錢貨，也早被搜刮一空。
It looks to be another metallic menace whose time has come and gone. Hopefully, fate will be kinder to you.	看起來又是一台風光不再的金屬怪物。希望命運能對你好一點。
Its metallic parts are frozen in place. I'll bet you're glad you weren't around when it was functional.	它的金屬零件已經卡死不動了。我敢說，還好你沒在它還能運作的時候出現在這裡。
You are quite impressed by the size of this junk freighter. The skeletal remains of a stripped-down space tanker stage lie half buried in scrap.	這艘廢棄貨船的體積讓你印象深刻。一艘被拆得只剩骨架的太空油輪殘骸，半埋在廢鐵堆裡。
It falls on non-existent ears.	可惜這裡沒有耳朵能聽見。
The gutted ship is unsafe for any such action.	這艘被掏空的船不安全，不適合做這種事。
You don't fit	你塞不進去
You can't.	你辦不到。
Let the poor thing rest in peace. It can't help you anyway.	讓這可憐的東西安息吧，反正它也幫不了你。
You see another boring ceiling.	你又看到一片無聊的天花板。
The walls are made of metal. Missing panels reveal old frayed wires.	牆壁是金屬打造的。缺損的面板露出裡面老舊磨損的電線。
One panel lies wedged against the wall. The other remaining panels are welded in place and are quite uninteresting in appearance.	有一片面板卡在牆邊。其餘面板都被焊死在原位，外觀相當無趣。
It's against the wall covering only more wall.	它就靠在牆上，蓋住的還是牆。
You see another boring floor.	你又看到一片無聊的地板。
Someone (or someTHING) has done a real job on this tanker. Was this the result of some space battle? Or perhaps you're not the only one roaming around in here.	有人（或者說「有什麼東西」）把這艘油輪搞得很慘。這是某場太空戰役留下的痕跡嗎？又或者，這裡遊蕩的不只有你一個。
It looks to have survived better than its co-conductors.	它看起來比其他導線撐得久多了。
Except for the one on the left, most of the wires here look dangerously worn.	除了左邊那條，這裡大部分的電線看起來都磨損得很危險。
All the wires here look dangerously worn.	這裡所有的電線看起來都磨損得很危險。
You see nothing but darkness.	你只看到一片黑暗。
You only are able to see gray, furry blur. It looks like a rat.	你只能看到一團灰色毛茸茸的模糊影子，看起來像隻老鼠。
The fur-bearing pocket prober isn't currently present.	那隻愛往口袋鑽的毛茸茸傢伙目前不在這裡。
Funny. I don't see that in this picture.	奇怪，這畫面裡沒看到那東西。
You don't notice a hole.	你沒發現有洞。
The pipes are useless, as they are punctured in many places.	這些管子沒用了，上面到處都是破洞。
There is nowhere for you to climb to.	沒有地方可以讓你往上爬。
There are no decent wires within reach.	你搆得到的範圍內沒有像樣的電線。
There is no other wire here worthy of your acquisition.	這裡沒有其他值得你拿走的電線了。
They're useless.	它們沒用。
The panel is of no use.	這片面板沒用。
You take the only decent piece of wire available.	你拿走了這裡唯一一條像樣的電線。
You seem to have been mugged by some type of large rat. As you pick loose fur from your teeth you notice a less bulky feeling.	你似乎被某種大老鼠打劫了。你從牙縫裡挑出鬆脫的毛，這才發現自己輕了不少。
The gutted carcass of the tanker opens up to reveal even more junk. A metal head rests nearby.	油輪的空殼被掏空，露出更多垃圾。附近躺著一顆金屬頭。
Wow! An ancient model of a Battlebot. I bet you'd hate to run into whatever brought this big guy down. It looks like something poked it in the eye.	哇！一台古董戰鬥機器人。你絕對不會想遇上把這大塊頭撂倒的東西。看起來有什麼戳了它的眼睛。
There are two eyes on the battlebot head. One of them has been broken.	戰鬥機器人的頭上有兩隻眼睛，其中一隻已經破了。
You can't see anything from down here.	你在這下面什麼都看不到。
They're just small air ducts for the robot.	那只是機器人的小通風管。
The pyramid is nothing more than a dense metallic protrusion.	這金字塔不過是一塊密實的金屬凸起物。
The floor is composed of a mosaic of overlapping welded steel plates. The menage of used metal appears to have been cut from a variety of sources. The floor drops off near the large robot.	地面是一塊塊焊接鋼板拼成的馬賽克。這堆廢金屬看來是從各種來源切割拼湊而成。地面在大型機器人附近陡然斷落。
The piles of scrap drop off here. It looks dark and dangerous down there.	這堆廢料在這裡斷落。下面看起來又暗又危險。
It isn't a ship. It's an ancient model of a Battlebot. I bet you'd hate to run into whatever brought this big guy down. It looks like something poked it in the eye.	這不是一艘船，是一台古董戰鬥機器人。你絕對不會想遇上把這大塊頭撂倒的東西。看起來有什麼戳了它的眼睛。
You can't from this location.	你在這個位置辦不到。
You're intellectual profile may be slim, but you still are too thick to enter that.	你或許不太聰明，但身材還是太寬，鑽不進那裡。
Whatever you say, Superman.	隨便你怎麼說，超人。
Get closer.	靠近點。
I don't think you're man enough!	我看你沒那個種！
Sounds like you want to be doing something besides playing a dumb game.	聽起來你想做點別的事，而不是玩這蠢遊戲。
You don't need to do that. Besides, one of them is already broken.	你不需要這麼做。再說，其中一個已經壞了。
Oh, gosh! You've stepped off a metallic escarpment and tumbled into the darkness. Twisted, jagged remnants of old vehicles reach out to slow your dark descent, cutting short your life in the process.	哎呀！你踩空金屬峭壁，一頭栽進黑暗中。扭曲鋸齒狀的舊車殘骸伸出來想減緩你的墜落，順便也把你的小命給結束了。
The floor is composed of a mosaic of overlapping welded steel plates. The menage of used metal appears to have been cut from a variety of sources. There is a small round object lying nearby.	地面是一塊塊焊接鋼板拼成的馬賽克。這堆廢金屬看來是從各種來源切割拼湊而成。附近躺著一個小圓形物體。
All of the metal has very jagged edges but is, otherwise, fairly ordinary.	這些金屬邊緣都很鋸齒，除此之外相當普通。
It looks like your basic hatch handle.	看起來就是個普通的艙門把手。
You can't do that from down here.	你在這下面辦不到。
It's a cute little thing. You've never seen anything like it in these parts, but then where are these parts? Some writing on its exterior reads `For a good time, don't call HAL!'	這小東西挺可愛的。你在這一帶從沒見過這種東西，不過話說回來，這裡到底算哪一帶？外殼上寫著：「想找樂子，別打給 HAL！」
It's a cute little thing. You've never seen anything like it in these parts, but then where are these parts? Some writing on its exterior reads `Bowman was here.'	這小東西挺可愛的。你在這一帶從沒見過這種東西，不過話說回來，這裡到底算哪一帶？外殼上寫著：「鮑曼到此一遊。」
It's a sleek-looking number if you can disregard the junk it's rooted in. It must be a recent addition to the collection as everything seems to be intact. Etched on each side is the name `ALUMINUM MALLARD'. On top is a small hatch.	若不去管它埋身的那堆垃圾，這艘船外型相當流線。看起來是最近才加進這堆收藏的，因為一切都還完好。船身兩側刻著「鋁製野鴨號」，頂上有個小艙口。
You can't see them as they are buried in junk.	你看不到它們，因為都埋在垃圾裡了。
You notice only the segmented spine-like neck of a former galactic menace.	你只看到一段昔日銀河威脅生物的分節脊椎狀頸部。
The hole in the pod is so small that you are unable to discern any interior features.	艙體上的洞太小，你看不清內部的任何細節。
You are at an unsuitable location for sucessfully viewing that.	你目前的位置不適合看清那個東西。
The blackness of the pod's interior is broken only by a small quantity of light pouring through a tiny meteoroid hole.	艙內一片漆黑，只有一小道光從一個微隕石坑小洞透進來。
You can make out a pilot's seat and a console. The aft end is dark.	你能看出一張駕駛座和一個控制台，後段則一片漆黑。
The angle makes it impossible to see any detail.	這個角度讓你看不清任何細節。
You can't see anything like that from here.	你在這裡看不到那樣的東西。
You peer into the compartment and see the ship's motivator unit resting snugly in its perch.	你往艙室裡看，看見船的動力機組穩穩安置在座架上。
You peer into the cavity in the top of the ship. The only noteworthy item is a modular plug in the bottom of the opening.	你往船頂的凹槽裡看，唯一值得注意的是開口底部的一個模組化插頭。
You can't see it from here.	你從這裡看不到它。
You can't. It's covered by the warp motivator.	你辦不到，它被曲速動力機組擋住了。
It's the modular eight pin variety.	這是八針模組化的款式。
You can't see it from down here.	你在這下面看不到它。
They look like remnants of an orbital space station, or perhaps some type of toys for an over-sized child.	它們看起來像是軌道太空站的殘骸，或者是某種超大號小孩的玩具。
It's a low-tech ascent/descent module.	這是個低科技的升降艙。
It looks like the small round passage that it is.	看起來就是個小圓通道，本來就是。
There are none of those here.	這裡沒有那種東西。
There is nothing interesting about them.	它們沒什麼特別的。
You find yourself at the bottom of another trash pit. An interesting array of alien artifacts is strewn from one end to the other. A large ship is in the middle and a small one is off to one side.	你發現自己在另一個垃圾坑的底部。各式各樣有趣的外星文物散落一地。中間是一艘大船，一旁是一艘小船。
Get serious. We've got a game to play.	正經點，我們還有遊戲要玩呢。
You can't. It's part of the ship.	你辦不到，那是船身的一部分。
Forget it. They're buried too deeply. Besides, you're too old to be playing with toys - at least you should be!	算了吧，它們埋得太深了。再說，你這年紀不該還在玩玩具了——至少該是這樣才對！
Ouch! (again)	哎唷！（又來了）
You don't need it up here.	你在這上面用不到它。
That's not here to be gotten.	這裡沒有可以拿的東西。
Be more specific.	請說得更具體一點。
I told you not to do that.	我早就叫你別這麼做了。
It's too small for you.	這對你來說太小了。
That won't help.	那沒用。
That can't be done.	那辦不到。
Nothing is done with that here.	這裡沒辦法對它做什麼。
That isn't necessary.	沒這個必要。
Check again.	再檢查一次。
You're wasting your time messing with this relic.	你在這古董上瞎搞是在浪費時間。
It won't work here.	這裡行不通。
You don't have that.	你沒有那個東西。
You can't. It's closed permanently.	你辦不到，它永遠關閉了。
I don't think there is much of you that could fit into the seriously snug aperture.	你身上沒多少部位塞得進那個超級窄的開口。
Not with it down there.	它在那下面的話不行。
There is no ladder close enough to climb.	附近沒有梯子可以爬。
There doesn't seem to be a ladder ready for scaling.	這裡似乎沒有現成的梯子可以攀爬。
That would be great. If only someone had been smart enough to bring a ladder.	那可就太好了，可惜沒人聰明到會帶梯子來。
There is no good way to scale the slick ship.	沒有好辦法能爬上這艘滑溜溜的船。
You're not in a good location for climbing that.	你目前的位置不適合攀爬那個。
That's not possible.	那不可能。
The ship is too slick. You seem to remember an ectomorphic programmer friend telling you about ships with non-stick coatings for greater debris collision tolerance.	這艘船太滑了。你依稀記得一個瘦皮猴程式設計師朋友曾跟你提過，有些船會塗上不沾塗層以提高抗碎片碰撞能力。
We warned you to be careful. Did you listen? Nooooo! Good luck next time.	我們警告過你要小心，你有聽嗎？沒──有！祝你下次好運。
You got lucky this time.	這次算你走運。
You move into position and, grabbing the dull finish of the hatch's handle, commence to open and enter the ship.	你移動到定位，抓住艙門手把上黯淡的金屬光澤，開始打開艙門走進船內。
You notice it to be slick up here. Be careful.	你注意到這裡很滑，小心點。
Sensing an adequate surface, the claw releases its cargo and begins the ascent to the grabber unit. The object thuds into place within the cavity of the ship.	感應到合適的表面後，機械爪放開貨物，開始朝抓取裝置上升。物體「咚」一聲落進船艙的凹槽裡。
It's a cute little thing. You've never seen anything like it in these parts, but then where are these parts? Some writing on its exterior reads `For a good time, don't call HAL!'.	這東西小巧可愛。你在這一帶從沒見過這種東西，不過話說回來，這裡到底算哪一帶？外殼上寫著：「想找樂子，千萬別打給 HAL！」
It's a cute little thing. You've never seen anything like it in these parts, but then where are these parts? Some writing on its exterior reads `Bowman was here'.	這東西小巧可愛。你在這一帶從沒見過這種東西，不過話說回來，這裡到底算哪一帶？外殼上寫著：「鮑曼到此一遊」。
A system consisting of buckets and a conveyer (when running) hauls small pieces of scrap to the east.	一套由吊斗和輸送帶組成的系統（運轉時）會把小塊廢料運往東邊。
A system consisting of buckets and a conveyer hauls small pieces of scrap to the east.	一套由吊斗和輸送帶組成的系統，把小塊廢料運往東邊。
It's way down there and not very pretty.	那東西在下面很遠的地方，而且長得不怎麼樣。
The only junk visible is the small amounts nestled in the conveyer buckets.	看得到的廢料只有窩在輸送帶吊斗裡的那一點點。
You are standing on a narrow rail suspended high above the floor of the freighter. A conveyer system below leads to the right grinder. Be careful - it's a long way down.	你站在懸吊於貨輪地板上方高處的窄軌上。下方的輸送帶系統通往右側的碎裂機。小心——摔下去可是很遠的。
This conveyer is no place for sight-seeing.	這輸送帶可不是觀光的地方。
You are riding below a narrow rail suspended high above the floor of the freighter. A conveyer belt below leads to a shredder.	你正吊掛在懸於貨輪地板上方高處的窄軌下方移動。下方的輸送帶通往碎紙機。
Right! Get real.	是喔！醒醒吧。
You stepped off the rail! You're dead again. Way to go. Haven't we taught you anything?	你踩空摔下軌道了！你又死了。真有你的。我們難道什麼都沒教會你嗎？
From your seat you see a handle, (presently being gripped by you) which controls Motion, and a button marked CLAW.	從座位上你看見一支控制「移動」的手把（目前正被你握著），還有一個標著「CLAW」的按鈕。
You must stop the grabber before claw functions can be executed.	你必須先讓抓取裝置停下，才能執行機械爪的功能。
That's already being done.	這件事已經在做了。
It looks like something that would cradle your posterior nicely.	看起來這東西能穩穩地托住你的屁股。
That would be unwise.	那樣做不太明智。
The conveyer belt (now empty) transports small piles of debris to the shredder at the end.	輸送帶（目前是空的）會把一小堆一小堆的殘骸運到末端的碎紙機。
Small piles of space junk make their way down the conveyer belt to a shredder.	一小堆一小堆的太空垃圾沿著輸送帶運往碎紙機。
The debris here is portioned onto the conveyer which enters from the left. The small piles roll along until they interface with the shredder where, true to its name, all is shredded.	這裡的殘骸被分裝到從左側進來的輸送帶上。小堆殘骸一路滾動，最後碰上碎紙機——正如其名，全都被碎個精光。
The shredder is a mean-looking device. When running, it mercilessly breaks debris down to many smaller pieces of debris.	碎紙機看起來凶狠十足。運轉時，它會毫不留情地把殘骸絞成更多更小的碎片。
The shredder is a mean-looking device. It mercilessly breaks debris down to many smaller pieces of debris.	碎紙機看起來凶狠十足。它會毫不留情地把殘骸絞成更多更小的碎片。
A number of pipes run through the area. They are of no significance.	這一帶有一些管線穿過，沒什麼特別的。
You are standing on a narrow rail suspended high above the floor of the freighter. A conveyer belt below leads to a grinder. Be careful - it's a long way down.	你站在懸吊於貨輪地板上方高處的窄軌上。下方的輸送帶通往一台碎裂機。小心——摔下去可是很遠的。
You can't climb that.	你爬不上去。
Don't push it! You made it up here safely. Quit while you're ahead.	別得寸進尺！你能安全爬到這裡已經很不錯了，見好就收吧。
It's not within your reach.	你的手構不到。
While it might be tactilly stimulating, your cause won't be furthered.	摸起來或許挺有觸感，但對你的目標一點幫助也沒有。
That doesn't look like a safe place to jump to.	那看起來不像是可以安全跳過去的地方。
You can't from this position.	你在這個位置辦不到。
Shredded like an Iran-Contra document, your many independent parts flutter to the bottom of the hopper. This is of little importance to you, what with your being dead and all.	你像伊朗門醜聞的機密文件一樣被碎得粉碎，四分五裂的殘骸飄落到料斗底部。不過反正你已經死了，這對你來說也無所謂了。
You stepped off the conveyer. You're dead again. Way to go. Haven't we taught you anything?	你踩出輸送帶外了。你又死了。真有你的。我們難道什麼都沒教會你嗎？
From your seat you see a handle, (presently being gripped by you) which controls motion, and a button marked CLAW.	從座位上你看見一支控制移動的手把（目前正被你握著），還有一個標著「CLAW」的按鈕。
Due to a series of pipelines directly below you, the claw is programmed not to work here.	由於你正下方有一連串管線，機械爪被設定成在這裡無法運作。
You are standing on a narrow rail suspended high above the floor at the far end of the freighter. It's a long way down to the junk piles below.	你站在懸吊於貨輪最遠端地板上方高處的窄軌上。往下摔到那堆廢料可是很遠的。
You are riding below a narrow rail suspended high above the floor at the far end of the freighter. It's a long way down to the junk piles below.	你正吊掛在懸於貨輪最遠端地板上方高處的窄軌下方移動。往下摔到那堆廢料可是很遠的。
It's an impressive piece of machinery. Unfortunately you have no idea what it is. Perhaps it is what emitted that tractor beam that brought you here. Or maybe it's some sort of giant trash masher. Or maybe the artist just thought it would look really cool hanging there. Yea, that's it! At any rate, I wouldn't waste any time trying to mess with it.	這是台氣派的機械。可惜你完全看不出它是幹嘛的。也許就是它發出把你吸進來的牽引光束。又或許它是某種巨型垃圾壓縮機。又或許只是美術覺得掛在那裡很酷而已。對，就是這樣！總之，我勸你別浪費時間去亂搞它。
Sure, you're a devil-may-care kinda guy. This one, however, is beyond even your athletic aptitude.	沒錯，你是個天不怕地不怕的傢伙。不過這一關，已經超出你的運動細胞所能負荷了。
You step on a part of the track which is extremely narrow and greasy. It obviously wasn't designed for human foot travel. It's a quick drop to the unforgiving surface below.	你踩上軌道上一段極窄又油膩的地方。這顯然不是設計給人類雙腳走的。接下來就是直直摔向下方那片毫不留情的地面。
There is some light coming from passages through the west wall.	西邊牆上的通道透出一些光線。
You are standing on a narrow rail suspended high above the floor of the freighter. It's a long way down to the junk piles below. There are two passages to the west.	你站在懸吊於貨輪地板上方高處的窄軌上。往下摔到那堆廢料可是很遠的。西邊有兩條通道。
You are riding below a narrow rail suspended high above the floor of the freighter. It's a long way down to the junk piles below.	你正吊掛在懸於貨輪地板上方高處的窄軌下方移動。往下摔到那堆廢料可是很遠的。
The claw can't operate here.	機械爪在這裡無法運作。
